标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
新上电梯大三房  产权清晰  业主诚心出售 到价签字,泾东小区 ,3室1厅,87.03平米,西南,25,1990,洋泾,695,79858
一手动迁免增值税，南北通风户型好,世华锦城 ,2室1厅,78.99平米,南 北,6,2007,杨思前滩,684,86594
杨思前滩+次新房+6号线高青路+三开间朝南＋诚意出售,博学家园 ,2室1厅,85.25平米,南,11,2010,杨思前滩,645,75660
内环内一房 步行陆家嘴300米 满五年 税费少  诚意出售,瑞苑公寓 ,1室1厅,81.39平米,北,40,2001,梅园,770,94607
新里城和合苑 2室2厅 东南,新里城和合苑 ,2室2厅,77.93平米,东南,6,1999,杨思前滩,720,92391
此房户型方正，售后公房 税费少,博山小区 ,2室1厅,85.24平米,东南,25,1990,洋泾,640,75083
羽北小区 2室1厅 南,羽北小区 ,2室1厅,71.42平米,南,7,1998,洋泾,750,105013
6及12号线双轨交汇，隧道通畅，花园小区,景源佳苑 ,2室2厅,87.45平米,南,7,2007,高行,505,57748
此房是满五年唯 一的，小区中间位置，楼间距宽，,保利金爵公寓 ,2室1厅,72.44平米,南,14,2009,唐镇,565,77996
电梯房 受众面广 世博版块难得的大俩房,长青教师公寓 ,2室2厅,86.39平米,南,18,1991,世博,535,61929
君誉江畔 2室1厅 西北,君誉江畔 ,2室1厅,87.72平米,西北,27,2013,塘桥,500,57000
全明户型不靠路，满五年，业主诚意出售，无遮挡,竹园高层 ,2室1厅,70.04平米,南,22,1993,源深,525,74958
"一手动迁,满五年，诚意出售，到价签字不跳价",世华锦城 ,2室2厅,78.76平米,南,18,2007,杨思前滩,740,93957
前滩版块+三轨交汇+全明户型+环境安静,凌兆新村(凌兆路530弄) ,2室1厅,81.37平米,南,6,1994,三林,520,63906
售后公房，高区景观好，采光充足，内高层，位置好,竹园高层 ,2室1厅,72.54平米,南,22,1989,源深,750,103392
君誉江畔 2室1厅 东南,君誉江畔 ,2室1厅,88.08平米,东南,27,2013,塘桥,600,68120
户型方正，前后无遮挡，视野开阔，可拎包入住。,香楠小区 ,2室2厅,79.51平米,南,6,1994,张江,560,70432
君誉江畔 2室1厅 西北,君誉江畔 ,2室1厅,88.08平米,西北,27,2013,塘桥,545,61876
天健浦荟大楼 2室1厅 南,天健浦荟大楼 ,2室1厅,70平米,南,10,未知,南码头,500,71429
天健浦荟大楼 2室2厅 南,天健浦荟大楼 ,2室2厅,74.5平米,南,10,未知,南码头,585,78524
君誉江畔 2室1厅 南,君誉江畔 ,2室1厅,88.08平米,南,27,2013,塘桥,500,56767
